## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /data/SRR35521082.sorted.bam --OUTPUT /data/SRR35521082.sorted.dedup.bam --METRICS_FILE /data/SRR35521082.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 18 08:18:04 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	6560	77786	11488	437868	1714	1484	0	0.028878	2012620

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	75112	75112
2.0	1.962088	1046	1046
3.0	2.887702	98	98
4.0	3.778224	24	24
5.0	4.634985	7	7
6.0	5.459264	3	3
7.0	6.252294	3	3
8.0	7.015258	1	1
9.0	7.749297	0	0
10.0	8.455508	1	1
11.0	9.134944	1	1
12.0	9.788622	2	2
13.0	10.417518	1	1
14.0	11.022572	0	0
15.0	11.604686	1	1
16.0	12.164732	0	0
17.0	12.703546	0	0
18.0	13.221932	1	1
19.0	13.720665	1	1
20.0	14.20049	0	0
21.0	14.662124	0	0
22.0	15.106257	0	0
23.0	15.533552	0	0
24.0	15.944647	0	0
25.0	16.340157	0	0
26.0	16.720673	0	0
27.0	17.086763	0	0
28.0	17.438973	0	0
29.0	17.777831	0	0
30.0	18.103841	0	0
31.0	18.417493	0	0
32.0	18.719253	0	0
33.0	19.009573	0	0
34.0	19.288886	0	0
35.0	19.55761	0	0
36.0	19.816146	0	0
37.0	20.064881	0	0
38.0	20.304186	0	0
39.0	20.534418	0	0
40.0	20.755922	0	0
41.0	20.969028	0	0
42.0	21.174055	0	0
43.0	21.371309	0	0
44.0	21.561084	0	0
45.0	21.743665	0	0
46.0	21.919324	0	0
47.0	22.088324	0	0
48.0	22.250916	0	0
49.0	22.407344	0	0
50.0	22.557842	0	0
51.0	22.702634	0	0
52.0	22.841937	0	0
53.0	22.975959	0	0
54.0	23.104899	0	0
55.0	23.228952	0	0
56.0	23.348301	0	0
57.0	23.463125	0	0
58.0	23.573596	0	0
59.0	23.679879	0	0
60.0	23.782133	0	0
61.0	23.88051	0	0
62.0	23.975158	0	0
63.0	24.066217	0	0
64.0	24.153824	0	0
65.0	24.238109	0	0
66.0	24.3192	0	0
67.0	24.397216	0	0
68.0	24.472274	0	0
69.0	24.544486	0	0
70.0	24.613961	0	0
71.0	24.680802	0	0
72.0	24.745109	0	0
73.0	24.806978	0	0
74.0	24.866502	0	0
75.0	24.923768	0	0
76.0	24.978864	0	0
77.0	25.031871	0	0
78.0	25.082868	0	0
79.0	25.131932	0	0
80.0	25.179136	0	0
81.0	25.22455	0	0
82.0	25.268243	0	0
83.0	25.310279	0	0
84.0	25.350721	0	0
85.0	25.38963	0	0
86.0	25.427064	0	0
87.0	25.463079	0	0
88.0	25.497728	0	0
89.0	25.531064	0	0
90.0	25.563136	0	0
91.0	25.593992	0	0
92.0	25.623679	0	0
93.0	25.652239	0	0
94.0	25.679717	0	0
95.0	25.706154	0	0
96.0	25.731588	0	0
97.0	25.756058	0	0
98.0	25.7796	0	0
99.0	25.802249	0	0
100.0	25.82404	0	0

